,batting_team,bowling_team,city,current_score,balls_left,wickets_left,current_run_rate,last_five_over_runs,final_score
11593,West Indies,India,Lauderhill,123,16,2,7.096153846153846,27.0,143
12626,New Zealand,England,Delhi,43,88,9,8.0625,37.0,153
4390,Pakistan,Australia,Colombo,79,48,8,6.583333333333333,42.0,149
12468,Sri Lanka,Pakistan,Mirpur,150,0,6,7.5,36.0,150
19807,Pakistan,Bangladesh,Kolkata,181,10,6,9.872727272727273,60.0,201
27658,India,Sri Lanka,St Lucia,147,11,6,8.091743119266056,30.0,163
12146,Pakistan,Australia,Mirpur,45,77,8,6.27906976744186,35.0,191
46695,Afghanistan,West Indies,St Kitts,46,55,5,4.246153846153846,14.0,110
7617,New Zealand,Sri Lanka,Pallekele,109,20,5,6.54,42.0,142
43644,India,West Indies,Mumbai,72,87,10,13.090909090909092,68.0,240
44490,England,West Indies,Trinidad,92,47,6,7.561643835616438,37.0,121
6825,Pakistan,England,Manchester,60,77,8,8.372093023255815,47.0,190
3947,India,West Indies,Trinidad,102,23,6,6.309278350515464,33.0,159
42648,New Zealand,India,Auckland,44,82,7,6.947368421052632,40.0,158
46955,Pakistan,Bangladesh,Mirpur,77,47,8,6.328767123287672,39.0,141
47172,England,Australia,Cape Town,48,74,7,6.260869565217392,31.0,135
13670,New Zealand,England,Hamilton,125,34,7,8.720930232558139,42.0,192
34985,Sri Lanka,Bangladesh,Johannesburg,60,62,7,6.206896551724138,23.0,147
13438,Pakistan,Bangladesh,Mirpur,98,21,6,5.9393939393939394,55.0,129
45701,New Zealand,Pakistan,Cape Town,43,82,10,6.7894736842105265,40.0,143
49774,England,South Africa,Johannesburg,33,93,8,7.333333333333333,33.0,202
48305,West Indies,Bangladesh,Johannesburg,59,67,9,6.679245283018868,35.0,164
23460,England,Afghanistan,Delhi,49,77,6,6.837209302325581,34.0,142
9324,England,New Zealand,Hamilton,120,43,7,9.35064935064935,58.0,194
15981,Afghanistan,West Indies,Nagpur,69,33,5,4.758620689655173,19.0,123
39545,Pakistan,New Zealand,Dubai,114,29,5,7.516483516483516,36.0,153
8228,India,South Africa,Colombo,120,17,5,6.990291262135922,38.0,152
